State,Total Medicaid and CHIP Enrollment (July - Sept. 2013),Total Medicaid and CHIP Enrollment (August 2016),Total Medicaid/CHIP Child Enrollment (August 2016),Change in total Medicaid and CHIP Coverage (2013 - 2016),Dually Eligible for full Medicaid and Medicare (Dec. 2015),Dually Eligible for partial Medicaid and Medicare (Dec. 2015),Dually Eligible for Full or Partial Caid and Care (Dec. 2015),State Has Expanded (as of Dec. 2016),"Increased in Covered due to Expansion (2016, if all expanded)"," Proj. Incr. Rec. Chol. screen (annual impact, if all expanded)","Proj. Incr. Mammograms (annual impact, if all states expanded)","Proj. Incr. Pap. Smear (annual impact, if all expanded)","Proj. Incr. Main Clinical Care (annual impact, if all expanded)","Proj. Incr. All Care (annual impact, if all expanded)","Proj. Incr. Physician Visits (annual impact, if all expanded)","Proj. Reduction Depression (annual impact, if all expanded)","Proj. Incr. Good Health (annual impact, if all expanded)","Proj. Reduction Number Deaths (annual impact, if all expanded)","Proj. reduction Catastrophic costs (annually, if all expanded)","Proj. red. Skip Pay Med. Bills (annual impact, if all expanded)","Net Increase in Federal Spending (2016, if all states expanded)","Reduction in Uncompensated Care (2016, if all states expanded)",Potentially Eligible with Mental Illness or Sub. Use (2010-2014),Potentially Eligible with Mental Illness or Sub. Use (2014)
Montana ,"148,974","224,048","120,626","75,074","15,939","9,250","25,189",yes,"32,000","4,700","1,300","2,000","8,000","4,000","88,000","3,000","4,000",40,"1,500","4,600",140,30,--,--
Nebraska ,"244,600","242,702","161,173","-1,898","35,151","3,516","38,667",no,"42,000","6,100","1,400","2,600","10,000","5,000","113,000","4,000","6,000",50,"1,900","6,000",200,40,31.3%,"21,000"
Nevada,"332,560","614,298","295,720","281,738","27,107","25,102","52,209",yes,"90,000","13,100","3,700","5,500","21,000","10,000","242,000","8,000","12,000",110,"4,000","12,800",500,90,--,--
New Hampshire ,"127,082","189,429","94,622","62,347","20,839","12,241","33,080",yes,"22,000","3,200","1,000","1,400","5,000","3,000","60,000","2,000","3,000",30,"1,000","3,200",210,20,--,--
New Jersey ,"1,283,851","1,784,529","848,216","500,678","185,430","25,470","210,900",yes,"194,000","28,300","7,300","12,000","46,000","22,000","524,000","18,000","26,000",230,"8,700","27,600","1,490",200,--,--
New Mexico,"457,678","766,732","358,107","309,054","55,415","33,661","89,076",yes,"82,000","12,000","3,100","4,700","19,000","9,000","222,000","8,000","11,000",100,"3,700","11,700",190,90,--,--
New York,"5,678,417","6,431,165","2,467,177","752,748","702,566","138,749","841,315",yes,"143,000","20,800","7,100","8,800","34,000","16,000","385,000","13,000","19,000",170,"6,400","20,300","5,210",150,--,--
North Carolina ,"1,595,952","2,072,282","1,430,363","476,330","240,953","78,767","319,720",no,"313,000","45,600","11,500","19,100","74,000","36,000","845,000","29,000","42,000",380,"14,000","44,500","3,670",330,26.7%,"144,000"
North Dakota ,"69,980","89,763","41,959","19,783","10,871","2,930","13,801",yes,"18,000","2,600",600,"1,100","4,000","2,000","48,000","2,000","2,000",20,800,"2,600",220,20,--,--
Ohio ,"2,341,481","3,003,170","1,260,252","661,689","206,885","121,737","328,622",yes,"381,000","55,500","14,900","22,300","91,000","44,000","1,029,000","35,000","51,000",460,"17,100","54,200","5,030",400,--,--
Oklahoma ,"790,051","788,544","512,059","-1,507","91,920","21,795","113,715",no,"127,000","18,500","5,000","7,500","30,000","15,000","343,000","12,000","17,000",150,"5,700","18,100",770,130,33.2%,"71,000"
Oregon,"626,356","1,021,862","416,789","395,506","76,890","46,415","123,305",yes,"159,000","23,200","6,000","9,700","38,000","18,000","429,000","15,000","21,000",190,"7,100","22,600",740,170,--,--
Pennsylvania ,"2,386,046","2,883,114","1,375,842","497,068","357,932","84,568","442,500",yes,"261,000","38,000","9,500","15,100","62,000","30,000","704,000","24,000","35,000",310,"11,700","37,100","3,350",280,--,--
Rhode Island,"190,833","287,173","115,307","96,340","33,142","7,296","40,438",yes,"22,000","3,200",700,"1,400","5,000","3,000","60,000","2,000","3,000",30,"1,000","3,200",270,20,--,--
South Carolina ,"889,744","994,804","630,610","105,060","127,328","26,210","153,538",no,"160,000","23,300","6,500","9,700","38,000","18,000","432,000","15,000","21,000",190,"7,200","22,800","1,250",170,32.4%,"87,000"
South Dakota ,"115,501","119,835","82,431","4,334","11,970","7,429","19,399",no,"25,000","3,600",900,"1,500","6,000","3,000","68,000","2,000","3,000",30,"1,100","3,600",190,30,*,*
Tennessee ,"1,244,516","1,627,100",--,"382,584","146,943","125,949","272,892",no,"179,000","26,100","7,300","10,700","43,000","20,000","483,000","16,000","24,000",220,"8,000","25,500","1,770",190,35.8%,"114,000"
Texas ,"4,441,605","4,770,229","3,512,929","328,624","374,617","298,977","673,594",no,"1,107,000","161,300","40,400","68,900","263,000","127,000","2,989,000","101,000","147,000","1,330","49,600","157,400","5,440","1,170",23.2%,"406,000"
Utah ,"294,029","314,182","221,678","20,153","30,334","6,154","36,488",no,"68,000","9,900","1,800","4,100","16,000","8,000","184,000","6,000","9,000",80,"3,000","9,700",240,70,40.0%,"42,000"
Vermont,"161,081","175,597","64,429","14,516","20,948","7,674","28,622",yes,"3,000",500,<100,<100,"1,000","<1,000","9,000","<1,000","<1,000",<10,200,500,110,<10,--,--
Virginia ,"935,434","988,821","661,558","53,387","122,448","63,928","186,376",no,"179,000","26,100","6,800","11,100","43,000","20,000","483,000","16,000","24,000",220,"8,000","25,500","1,240",190,34.8%,"102,000"
Washington,"1,117,576","1,788,536","832,561","670,960","127,464","57,695","185,159",yes,"55,000","8,000","1,900","3,300","13,000","6,000","148,000","5,000","7,000",70,"2,500","7,800",680,60,--,--
West Virginia ,"354,544","575,645","228,688","221,101","46,046","35,763","81,809",yes,"68,000","10,000","2,800","4,000","16,000","8,000","185,000","6,000","9,000",80,"3,100","9,700",840,70,--,--
Wisconsin ,"985,531","1,046,897","493,942","61,366","140,021","21,617","161,638",no,"21,000","3,100",700,"1,200","5,000","2,000","57,000","2,000","3,000",30,900,"3,000",280,20,*,*
Wyoming,"67,518","63,583","39,804","-3,935","6,744","3,780","10,524",no,"14,000","2,000",600,"1,000","3,000","2,000","38,000","1,000","2,000",20,600,"2,000",110,10,30.2%,"6,000"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
